system:index,Name,fid,sum,timestamp,woodStockArea,.geo
20240120T105341_20240120T105433_T31TDK_00000000000000000000,cogra_craponne,1,0.0,2024-01-20,0.0,"{""type"":""Polygon"",""coordinates"":[[[3.831607414806199,45.31903718842203],[3.831660911018079,45.31856685781362],[3.831741246663758,45.31799935852348],[3.8321068194993235,45.3176763414663],[3.8331859682515588,45.31710882783856],[3.833645263288081,45.31684859893755],[3.8351836101624714,45.316657304340836],[3.8353174401353485,45.316729434700946],[3.835531450344685,45.31844141822315],[3.8353798434305038,45.31856996539315],[3.835446733357418,45.319313114745086],[3.8341580046010324,45.31944791820994],[3.833618472802728,45.31916575611378],[3.8326330551710224,45.318999540210754],[3.8324591009722915,45.31904970255467],[3.8324502095163853,45.319256687328135],[3.831607414806199,45.31903718842203]]]}"
20240120T105341_20240120T105433_T31TDK_00000000000000000001,cogra_severac,2,8323.515310549268,2024-01-20,8323.515310549268,"{""type"":""Polygon"",""coordinates"":[[[3.0600937675025497,44.33218343704105],[3.0602855122520354,44.33192506286452],[3.0605263215060514,44.33157740080089],[3.060793880264201,44.331303078919085],[3.0609409961814458,44.33118823968268],[3.061172867063881,44.3311531970618],[3.0617569818178,44.33113404760074],[3.0622029252989433,44.33119142240405],[3.062537366512049,44.33129670259238],[3.0628316858712488,44.33139880011116],[3.062818311153506,44.331813432725035],[3.0629564912735057,44.331893168252414],[3.0629698660296087,44.33224405735796],[3.0623991111678244,44.33240029623507],[3.0619264933522508,44.33245454139012],[3.061288802923617,44.33256937058841],[3.0608384353231366,44.33259806657038],[3.060481690312553,44.332518330329705],[3.0602631967616754,44.332444993566895],[3.0601428308532324,44.33235244885601],[3.0600937675025497,44.33218343704105]]]}"
20240120T105341_20240120T105433_T31TEK_00000000000000000000,cogra_craponne,1,0.0,2024-01-20,0.0,"{""type"":""Polygon"",""coordinates"":[[[3.831607414806199,45.31903718842203],[3.831660911018079,45.31856685781362],[3.831741246663758,45.31799935852348],[3.8321068194993235,45.3176763414663],[3.8331859682515588,45.31710882783856],[3.833645263288081,45.31684859893755],[3.8351836101624714,45.316657304340836],[3.8353174401353485,45.316729434700946],[3.835531450344685,45.31844141822315],[3.8353798434305038,45.31856996539315],[3.835446733357418,45.319313114745086],[3.8341580046010324,45.31944791820994],[3.833618472802728,45.31916575611378],[3.8326330551710224,45.318999540210754],[3.8324591009722915,45.31904970255467],[3.8324502095163853,45.319256687328135],[3.831607414806199,45.31903718842203]]]}"
20240120T105341_20240120T105433_T31TEK_00000000000000000001,cogra_severac,2,8523.675291323194,2024-01-20,8523.675291323194,"{""type"":""Polygon"",""coordinates"":[[[3.0600937675025497,44.33218343704105],[3.0602855122520354,44.33192506286452],[3.0605263215060514,44.33157740080089],[3.060793880264201,44.331303078919085],[3.0609409961814458,44.33118823968268],[3.061172867063881,44.3311531970618],[3.0617569818178,44.33113404760074],[3.0622029252989433,44.33119142240405],[3.062537366512049,44.33129670259238],[3.0628316858712488,44.33139880011116],[3.062818311153506,44.331813432725035],[3.0629564912735057,44.331893168252414],[3.0629698660296087,44.33224405735796],[3.0623991111678244,44.33240029623507],[3.0619264933522508,44.33245454139012],[3.061288802923617,44.33256937058841],[3.0608384353231366,44.33259806657038],[3.060481690312553,44.332518330329705],[3.0602631967616754,44.332444993566895],[3.0601428308532324,44.33235244885601],[3.0600937675025497,44.33218343704105]]]}"
20240125T105239_20240125T105234_T31TDK_00000000000000000000,cogra_craponne,1,0.0,2024-01-25,0.0,"{""type"":""Polygon"",""coordinates"":[[[3.831607414806199,45.31903718842203],[3.831660911018079,45.31856685781362],[3.831741246663758,45.31799935852348],[3.8321068194993235,45.3176763414663],[3.8331859682515588,45.31710882783856],[3.833645263288081,45.31684859893755],[3.8351836101624714,45.316657304340836],[3.8353174401353485,45.316729434700946],[3.835531450344685,45.31844141822315],[3.8353798434305038,45.31856996539315],[3.835446733357418,45.319313114745086],[3.8341580046010324,45.31944791820994],[3.833618472802728,45.31916575611378],[3.8326330551710224,45.318999540210754],[3.8324591009722915,45.31904970255467],[3.8324502095163853,45.319256687328135],[3.831607414806199,45.31903718842203]]]}"
20240125T105239_20240125T105234_T31TDK_00000000000000000001,cogra_severac,2,5283.830879959406,2024-01-25,5283.830879959406,"{""type"":""Polygon"",""coordinates"":[[[3.0600937675025497,44.33218343704105],[3.0602855122520354,44.33192506286452],[3.0605263215060514,44.33157740080089],[3.060793880264201,44.331303078919085],[3.0609409961814458,44.33118823968268],[3.061172867063881,44.3311531970618],[3.0617569818178,44.33113404760074],[3.0622029252989433,44.33119142240405],[3.062537366512049,44.33129670259238],[3.0628316858712488,44.33139880011116],[3.062818311153506,44.331813432725035],[3.0629564912735057,44.331893168252414],[3.0629698660296087,44.33224405735796],[3.0623991111678244,44.33240029623507],[3.0619264933522508,44.33245454139012],[3.061288802923617,44.33256937058841],[3.0608384353231366,44.33259806657038],[3.060481690312553,44.332518330329705],[3.0602631967616754,44.332444993566895],[3.0601428308532324,44.33235244885601],[3.0600937675025497,44.33218343704105]]]}"
20240125T105239_20240125T105234_T31TEK_00000000000000000000,cogra_craponne,1,0.0,2024-01-25,0.0,"{""type"":""Polygon"",""coordinates"":[[[3.831607414806199,45.31903718842203],[3.831660911018079,45.31856685781362],[3.831741246663758,45.31799935852348],[3.8321068194993235,45.3176763414663],[3.8331859682515588,45.31710882783856],[3.833645263288081,45.31684859893755],[3.8351836101624714,45.316657304340836],[3.8353174401353485,45.316729434700946],[3.835531450344685,45.31844141822315],[3.8353798434305038,45.31856996539315],[3.835446733357418,45.319313114745086],[3.8341580046010324,45.31944791820994],[3.833618472802728,45.31916575611378],[3.8326330551710224,45.318999540210754],[3.8324591009722915,45.31904970255467],[3.8324502095163853,45.319256687328135],[3.831607414806199,45.31903718842203]]]}"
20240125T105239_20240125T105234_T31TEK_00000000000000000001,cogra_severac,2,5283.830879959406,2024-01-25,5283.830879959406,"{""type"":""Polygon"",""coordinates"":[[[3.0600937675025497,44.33218343704105],[3.0602855122520354,44.33192506286452],[3.0605263215060514,44.33157740080089],[3.060793880264201,44.331303078919085],[3.0609409961814458,44.33118823968268],[3.061172867063881,44.3311531970618],[3.0617569818178,44.33113404760074],[3.0622029252989433,44.33119142240405],[3.062537366512049,44.33129670259238],[3.0628316858712488,44.33139880011116],[3.062818311153506,44.331813432725035],[3.0629564912735057,44.331893168252414],[3.0629698660296087,44.33224405735796],[3.0623991111678244,44.33240029623507],[3.0619264933522508,44.33245454139012],[3.061288802923617,44.33256937058841],[3.0608384353231366,44.33259806657038],[3.060481690312553,44.332518330329705],[3.0602631967616754,44.332444993566895],[3.0601428308532324,44.33235244885601],[3.0600937675025497,44.33218343704105]]]}"
20240127T104311_20240127T104428_T31TDK_00000000000000000000,cogra_craponne,1,0.0,2024-01-27,0.0,"{""type"":""Polygon"",""coordinates"":[[[3.831607414806199,45.31903718842203],[3.831660911018079,45.31856685781362],[3.831741246663758,45.31799935852348],[3.8321068194993235,45.3176763414663],[3.8331859682515588,45.31710882783856],[3.833645263288081,45.31684859893755],[3.8351836101624714,45.316657304340836],[3.8353174401353485,45.316729434700946],[3.835531450344685,45.31844141822315],[3.8353798434305038,45.31856996539315],[3.835446733357418,45.319313114745086],[3.8341580046010324,45.31944791820994],[3.833618472802728,45.31916575611378],[3.8326330551710224,45.318999540210754],[3.8324591009722915,45.31904970255467],[3.8324502095163853,45.319256687328135],[3.831607414806199,45.31903718842203]]]}"
20240127T104311_20240127T104428_T31TDK_00000000000000000001,cogra_severac,2,10154.782837362849,2024-01-27,10154.782837362849,"{""type"":""Polygon"",""coordinates"":[[[3.0600937675025497,44.33218343704105],[3.0602855122520354,44.33192506286452],[3.0605263215060514,44.33157740080089],[3.060793880264201,44.331303078919085],[3.0609409961814458,44.33118823968268],[3.061172867063881,44.3311531970618],[3.0617569818178,44.33113404760074],[3.0622029252989433,44.33119142240405],[3.062537366512049,44.33129670259238],[3.0628316858712488,44.33139880011116],[3.062818311153506,44.331813432725035],[3.0629564912735057,44.331893168252414],[3.0629698660296087,44.33224405735796],[3.0623991111678244,44.33240029623507],[3.0619264933522508,44.33245454139012],[3.061288802923617,44.33256937058841],[3.0608384353231366,44.33259806657038],[3.060481690312553,44.332518330329705],[3.0602631967616754,44.332444993566895],[3.0601428308532324,44.33235244885601],[3.0600937675025497,44.33218343704105]]]}"
